2022-12-31 21:39:11,029 p=57329 u=craig n=ansible | PLAY [Create an LXC container in Proxmox] *****************************************************************************************************************************
2023-01-18 22:17:23,684 p=97055 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:17:23,715 p=97055 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] ****************************************************************************************************************************************
2023-01-18 22:17:24,198 p=97055 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:17:24,258 p=97055 u=craig n=ansible | TASK [docker_lxc : Verify that the target is online/contactable] ********************************************************************************************************************************
2023-01-18 22:17:24,683 p=97055 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:17:24,713 p=97055 u=craig n=ansible | TASK [docker_lxc : Install Docker] **************************************************************************************************************************************************************
2023-01-18 22:17:25,885 p=97055 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:17:25,918 p=97055 u=craig n=ansible | TASK [docker_lxc : Enable Docker] ***************************************************************************************************************************************************************
2023-01-18 22:17:26,935 p=97055 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:17:26,968 p=97055 u=craig n=ansible | TASK [docker_lxc : Start Docker] ****************************************************************************************************************************************************************
2023-01-18 22:17:27,852 p=97055 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:17:27,886 p=97055 u=craig n=ansible | TASK [docker_lxc : Make sure the required Python packages are installed] ************************************************************************************************************************
2023-01-18 22:17:28,295 p=97055 u=craig n=ansible | failed: [192.168.1.99 -> 192.168.1.4] (item=requests) => {"ansible_loop_var": "item", "changed": false, "item": "requests", "msg": "Unable to find any of pip3 to use.  pip needs to be installed."}
2023-01-18 22:17:28,298 p=97055 u=craig n=ansible | PLAY RECAP **************************************************************************************************************************************************************************************
2023-01-18 22:17:28,298 p=97055 u=craig n=ansible | 192.168.1.99               : ok=17   changed=3    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-18 22:19:38,703 p=97431 u=craig n=ansible | PLAY [Create a LXC Docker container running the official Caddy image] ***************************************************************************************************************************
2023-01-18 22:19:38,722 p=97431 u=craig n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************************************
2023-01-18 22:19:40,108 p=97431 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:19:40,126 p=97431 u=craig n=ansible | TASK [ansible.builtin.include_vars] *************************************************************************************************************************************************************
2023-01-18 22:19:40,139 p=97431 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:19:40,169 p=97431 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] *******************************************************************************************************************************************
2023-01-18 22:19:40,844 p=97431 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:19:40,866 p=97431 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ************************************************************************************************************
2023-01-18 22:19:41,212 p=97431 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:19:41,229 p=97431 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ********************************************************************************************************
2023-01-18 22:19:41,987 p=97431 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:19:42,017 p=97431 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] *****************************************************************************************************************************
2023-01-18 22:19:42,320 p=97431 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-18 22:19:42,335 p=97431 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ********************************************************************************************************************************************
2023-01-18 22:19:42,346 p=97431 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-18 22:19:42,361 p=97431 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ***********************************************************************************************************************************************
2023-01-18 22:19:42,803 p=97431 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:19:42,823 p=97431 u=craig n=ansible | TASK [pm_create_lxc : Start container] **********************************************************************************************************************************************************
2023-01-18 22:19:43,173 p=97431 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed from community.general in 
version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-18 22:19:43,174 p=97431 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:19:43,192 p=97431 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] *******************************************************************************************************************************************
2023-01-18 22:19:43,220 p=97431 u=craig n=ansible | changed: [192.168.1.99]
2023-01-18 22:19:43,235 p=97431 u=craig n=ansible | TASK [pm_create_lxc : Wait for port 22 to become open on the host] ******************************************************************************************************************************
2023-01-18 22:19:43,594 p=97431 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:19:43,630 p=97431 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] ************************************************************************************************************************
2023-01-18 22:19:45,581 p=97431 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:19:45,612 p=97431 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ***********************************************************************************************************************************
2023-01-18 22:19:46,978 p=97431 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:19:47,009 p=97431 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] ******************************************************************************************************************************
2023-01-18 22:19:47,948 p=97431 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:19:47,980 p=97431 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] ****************************************************************************************************************************************
2023-01-18 22:19:48,459 p=97431 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:19:48,477 p=97431 u=craig n=ansible | TASK [pm_create_lxc : Install and upgrade pip] **************************************************************************************************************************************************
2023-01-18 22:19:50,058 p=97431 u=craig n=ansible | changed: [192.168.1.99]
2023-01-18 22:19:50,104 p=97431 u=craig n=ansible | TASK [docker_lxc : Verify that the target is online/contactable] ********************************************************************************************************************************
2023-01-18 22:19:50,527 p=97431 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:19:50,558 p=97431 u=craig n=ansible | TASK [docker_lxc : Install Docker] **************************************************************************************************************************************************************
2023-01-18 22:19:51,813 p=97431 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:19:51,845 p=97431 u=craig n=ansible | TASK [docker_lxc : Enable Docker] ***************************************************************************************************************************************************************
2023-01-18 22:19:52,873 p=97431 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:19:52,907 p=97431 u=craig n=ansible | TASK [docker_lxc : Start Docker] ****************************************************************************************************************************************************************
2023-01-18 22:19:53,785 p=97431 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:19:53,819 p=97431 u=craig n=ansible | TASK [docker_lxc : Make sure the required Python packages are installed] ************************************************************************************************************************
2023-01-18 22:19:54,209 p=97431 u=craig n=ansible | failed: [192.168.1.99 -> 192.168.1.4] (item=requests) => {"ansible_loop_var": "item", "changed": false, "item": "requests", "msg": "Unable to find any of pip3 to use.  pip needs to be installed."}
2023-01-18 22:19:54,211 p=97431 u=craig n=ansible | PLAY RECAP **************************************************************************************************************************************************************************************
2023-01-18 22:19:54,211 p=97431 u=craig n=ansible | 192.168.1.99               : ok=19   changed=4    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-18 22:20:42,296 p=97768 u=craig n=ansible | PLAY [Create a LXC Docker container running the official Caddy image] ***************************************************************************************************************************
2023-01-18 22:20:42,313 p=97768 u=craig n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************************************
2023-01-18 22:20:43,552 p=97768 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:20:43,570 p=97768 u=craig n=ansible | TASK [ansible.builtin.include_vars] *************************************************************************************************************************************************************
2023-01-18 22:20:43,581 p=97768 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:20:43,611 p=97768 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] *******************************************************************************************************************************************
2023-01-18 22:20:44,324 p=97768 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:20:44,343 p=97768 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ************************************************************************************************************
2023-01-18 22:20:44,705 p=97768 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:20:44,723 p=97768 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ********************************************************************************************************
2023-01-18 22:20:45,444 p=97768 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:20:45,474 p=97768 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] *****************************************************************************************************************************
2023-01-18 22:20:45,775 p=97768 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-18 22:20:45,790 p=97768 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ********************************************************************************************************************************************
2023-01-18 22:20:45,802 p=97768 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-18 22:20:45,818 p=97768 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ***********************************************************************************************************************************************
2023-01-18 22:20:46,272 p=97768 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:20:46,292 p=97768 u=craig n=ansible | TASK [pm_create_lxc : Start container] **********************************************************************************************************************************************************
2023-01-18 22:20:46,630 p=97768 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed from community.general in 
version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-18 22:20:46,631 p=97768 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:20:46,650 p=97768 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] *******************************************************************************************************************************************
2023-01-18 22:20:46,675 p=97768 u=craig n=ansible | changed: [192.168.1.99]
2023-01-18 22:20:46,691 p=97768 u=craig n=ansible | TASK [pm_create_lxc : Wait for port 22 to become open on the host] ******************************************************************************************************************************
2023-01-18 22:20:47,067 p=97768 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:20:47,104 p=97768 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] ************************************************************************************************************************
2023-01-18 22:20:48,963 p=97768 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:20:48,994 p=97768 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ***********************************************************************************************************************************
2023-01-18 22:20:50,395 p=97768 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:20:50,425 p=97768 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] ******************************************************************************************************************************
2023-01-18 22:20:51,510 p=97768 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:20:51,542 p=97768 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] ****************************************************************************************************************************************
2023-01-18 22:20:52,019 p=97768 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:20:52,049 p=97768 u=craig n=ansible | TASK [pm_create_lxc : Install and upgrade pip] **************************************************************************************************************************************************
2023-01-18 22:20:52,435 p=97768 u=craig n=ansible | fatal: [192.168.1.99 -> 192.168.1.4]: FAILED! => {"changed": false, "msg": "Unable to find any of pip3 to use.  pip needs to be installed."}
2023-01-18 22:20:52,436 p=97768 u=craig n=ansible | PLAY RECAP **************************************************************************************************************************************************************************************
2023-01-18 22:20:52,436 p=97768 u=craig n=ansible | 192.168.1.99               : ok=14   changed=3    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-18 22:21:15,338 p=97965 u=craig n=ansible | PLAY [Create a LXC Docker container running the official Caddy image] ***************************************************************************************************************************
2023-01-18 22:21:15,356 p=97965 u=craig n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************************************
2023-01-18 22:21:16,524 p=97965 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:21:16,541 p=97965 u=craig n=ansible | TASK [ansible.builtin.include_vars] *************************************************************************************************************************************************************
2023-01-18 22:21:16,554 p=97965 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:21:16,584 p=97965 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] *******************************************************************************************************************************************
2023-01-18 22:21:17,236 p=97965 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:21:17,255 p=97965 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ************************************************************************************************************
2023-01-18 22:21:17,624 p=97965 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:21:17,641 p=97965 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ********************************************************************************************************
2023-01-18 22:21:18,401 p=97965 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:21:18,431 p=97965 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] *****************************************************************************************************************************
2023-01-18 22:21:18,731 p=97965 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-18 22:21:18,746 p=97965 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ********************************************************************************************************************************************
2023-01-18 22:21:18,757 p=97965 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-18 22:21:18,772 p=97965 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ***********************************************************************************************************************************************
2023-01-18 22:21:19,199 p=97965 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:21:19,216 p=97965 u=craig n=ansible | TASK [pm_create_lxc : Start container] **********************************************************************************************************************************************************
2023-01-18 22:21:19,578 p=97965 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed from community.general in 
version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-18 22:21:19,578 p=97965 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:21:19,598 p=97965 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] *******************************************************************************************************************************************
2023-01-18 22:21:19,621 p=97965 u=craig n=ansible | changed: [192.168.1.99]
2023-01-18 22:21:19,636 p=97965 u=craig n=ansible | TASK [pm_create_lxc : Wait for port 22 to become open on the host] ******************************************************************************************************************************
2023-01-18 22:21:20,041 p=97965 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:21:20,078 p=97965 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] ************************************************************************************************************************
2023-01-18 22:21:21,927 p=97965 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:21:21,959 p=97965 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ***********************************************************************************************************************************
2023-01-18 22:21:23,464 p=97965 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:21:23,494 p=97965 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] ******************************************************************************************************************************
2023-01-18 22:21:24,482 p=97965 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:21:24,513 p=97965 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] ****************************************************************************************************************************************
2023-01-18 22:21:24,985 p=97965 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:21:25,014 p=97965 u=craig n=ansible | TASK [pm_create_lxc : Install and upgrade pip] **************************************************************************************************************************************************
2023-01-18 22:21:25,399 p=97965 u=craig n=ansible | fatal: [192.168.1.99 -> 192.168.1.4]: FAILED! => {"changed": false, "msg": "Unable to find any of pip3 to use.  pip needs to be installed."}
2023-01-18 22:21:25,400 p=97965 u=craig n=ansible | PLAY RECAP **************************************************************************************************************************************************************************************
2023-01-18 22:21:25,400 p=97965 u=craig n=ansible | 192.168.1.99               : ok=14   changed=3    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-18 22:23:41,087 p=98334 u=craig n=ansible | PLAY [Create a LXC Docker container running the official Caddy image] ***************************************************************************************************************************
2023-01-18 22:23:41,105 p=98334 u=craig n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************************************
2023-01-18 22:23:42,637 p=98334 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:23:42,656 p=98334 u=craig n=ansible | TASK [ansible.builtin.include_vars] *************************************************************************************************************************************************************
2023-01-18 22:23:42,668 p=98334 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:23:42,698 p=98334 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] *******************************************************************************************************************************************
2023-01-18 22:23:43,366 p=98334 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:23:43,386 p=98334 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ************************************************************************************************************
2023-01-18 22:23:43,739 p=98334 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:23:43,756 p=98334 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ********************************************************************************************************
2023-01-18 22:23:44,511 p=98334 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:23:44,547 p=98334 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] *****************************************************************************************************************************
2023-01-18 22:23:44,848 p=98334 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-18 22:23:44,863 p=98334 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ********************************************************************************************************************************************
2023-01-18 22:23:44,874 p=98334 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-18 22:23:44,889 p=98334 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ***********************************************************************************************************************************************
2023-01-18 22:23:45,350 p=98334 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:23:45,368 p=98334 u=craig n=ansible | TASK [pm_create_lxc : Start container] **********************************************************************************************************************************************************
2023-01-18 22:23:45,705 p=98334 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed from community.general in 
version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-18 22:23:45,705 p=98334 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:23:45,724 p=98334 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] *******************************************************************************************************************************************
2023-01-18 22:23:45,747 p=98334 u=craig n=ansible | changed: [192.168.1.99]
2023-01-18 22:23:45,762 p=98334 u=craig n=ansible | TASK [pm_create_lxc : Wait for port 22 to become open on the host] ******************************************************************************************************************************
2023-01-18 22:23:46,123 p=98334 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:23:46,158 p=98334 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] ************************************************************************************************************************
2023-01-18 22:23:47,592 p=98334 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:23:47,620 p=98334 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ***********************************************************************************************************************************
2023-01-18 22:23:48,786 p=98334 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:23:48,815 p=98334 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] ******************************************************************************************************************************
2023-01-18 22:23:49,756 p=98334 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:23:49,787 p=98334 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] ****************************************************************************************************************************************
2023-01-18 22:23:50,265 p=98334 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:23:50,293 p=98334 u=craig n=ansible | TASK [pm_create_lxc : Install or update pip] ****************************************************************************************************************************************************
2023-01-18 22:23:50,721 p=98334 u=craig n=ansible | fatal: [192.168.1.99 -> 192.168.1.4]: FAILED! => {"changed": false, "msg": "Failed to find required executable \"easy_install\" in paths: /usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin"}
2023-01-18 22:23:50,723 p=98334 u=craig n=ansible | PLAY RECAP **************************************************************************************************************************************************************************************
2023-01-18 22:23:50,723 p=98334 u=craig n=ansible | 192.168.1.99               : ok=14   changed=3    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-18 22:26:21,909 p=98695 u=craig n=ansible | PLAY [Create a LXC Docker container running the official Caddy image] ***************************************************************************************************************************
2023-01-18 22:26:21,927 p=98695 u=craig n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************************************
2023-01-18 22:26:23,307 p=98695 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:26:23,324 p=98695 u=craig n=ansible | TASK [ansible.builtin.include_vars] *************************************************************************************************************************************************************
2023-01-18 22:26:23,335 p=98695 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:26:23,366 p=98695 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] *******************************************************************************************************************************************
2023-01-18 22:26:24,049 p=98695 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:26:24,065 p=98695 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ************************************************************************************************************
2023-01-18 22:26:24,414 p=98695 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:26:24,431 p=98695 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ********************************************************************************************************
2023-01-18 22:26:25,165 p=98695 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:26:25,195 p=98695 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] *****************************************************************************************************************************
2023-01-18 22:26:25,498 p=98695 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-18 22:26:25,513 p=98695 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ********************************************************************************************************************************************
2023-01-18 22:26:25,524 p=98695 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-18 22:26:25,539 p=98695 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ***********************************************************************************************************************************************
2023-01-18 22:26:26,013 p=98695 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:26:26,031 p=98695 u=craig n=ansible | TASK [pm_create_lxc : Start container] **********************************************************************************************************************************************************
2023-01-18 22:26:26,361 p=98695 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed from community.general in 
version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-18 22:26:26,361 p=98695 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:26:26,380 p=98695 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] *******************************************************************************************************************************************
2023-01-18 22:26:26,404 p=98695 u=craig n=ansible | changed: [192.168.1.99]
2023-01-18 22:26:26,419 p=98695 u=craig n=ansible | TASK [pm_create_lxc : Wait for port 22 to become open on the host] ******************************************************************************************************************************
2023-01-18 22:26:26,809 p=98695 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:26:26,844 p=98695 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] ************************************************************************************************************************
2023-01-18 22:26:28,717 p=98695 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:26:28,746 p=98695 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ***********************************************************************************************************************************
2023-01-18 22:26:30,120 p=98695 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:26:30,150 p=98695 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] ******************************************************************************************************************************
2023-01-18 22:26:31,131 p=98695 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:26:31,160 p=98695 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] ****************************************************************************************************************************************
2023-01-18 22:26:31,651 p=98695 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:26:31,679 p=98695 u=craig n=ansible | TASK [pm_create_lxc : Install the latest version of python] *************************************************************************************************************************************
2023-01-18 22:26:32,477 p=98695 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:26:32,512 p=98695 u=craig n=ansible | TASK [pm_create_lxc : Install or update pip] ****************************************************************************************************************************************************
2023-01-18 22:26:32,919 p=98695 u=craig n=ansible | fatal: [192.168.1.99 -> 192.168.1.4]: FAILED! => {"changed": false, "msg": "Failed to find required executable \"easy_install\" in paths: /usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin"}
2023-01-18 22:26:32,920 p=98695 u=craig n=ansible | PLAY RECAP **************************************************************************************************************************************************************************************
2023-01-18 22:26:32,920 p=98695 u=craig n=ansible | 192.168.1.99               : ok=15   changed=3    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-18 22:27:05,898 p=98971 u=craig n=ansible | PLAY [Create a LXC Docker container running the official Caddy image] ***************************************************************************************************************************
2023-01-18 22:27:05,916 p=98971 u=craig n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************************************
2023-01-18 22:27:07,139 p=98971 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:27:07,155 p=98971 u=craig n=ansible | TASK [ansible.builtin.include_vars] *************************************************************************************************************************************************************
2023-01-18 22:27:07,167 p=98971 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:27:07,197 p=98971 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] *******************************************************************************************************************************************
2023-01-18 22:27:07,852 p=98971 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:27:07,870 p=98971 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ************************************************************************************************************
2023-01-18 22:27:08,219 p=98971 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:27:08,236 p=98971 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ********************************************************************************************************
2023-01-18 22:27:08,970 p=98971 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:27:08,998 p=98971 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] *****************************************************************************************************************************
2023-01-18 22:27:09,298 p=98971 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-18 22:27:09,313 p=98971 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ********************************************************************************************************************************************
2023-01-18 22:27:09,324 p=98971 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-18 22:27:09,339 p=98971 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ***********************************************************************************************************************************************
2023-01-18 22:27:09,769 p=98971 u=craig n=ansible | ok: [192.168.1.99]
